CUTE-1 (CO-55) (NORAD 27844), mask 10 deg
STATION     AOS (UTC)            LOS (UTC)  MAX EL  DURATION
Blacksburg  2026-09-20 00:22:40  00:28:03   14      5m23s
Svalbard    2026-09-20 02:21:27  02:27:40   15      6m13s
Svalbard    2026-09-20 04:01:53  04:10:47   26      8m54s
Svalbard    2026-09-20 05:42:19  05:52:37   45      10m18s
Awarua      2026-09-20 06:42:10  06:52:13   41      10m03s
Svalbard    2026-09-20 07:22:37  07:33:24   76      10m47s
Awarua      2026-09-20 08:22:18  08:31:38   32      9m20s
Svalbard    2026-09-20 09:02:43  09:13:27   76      10m44s
Svalbard    2026-09-20 10:42:33  10:53:11   64      10m38s
Blacksburg  2026-09-20 10:58:15  11:07:26   29      9m11s
Svalbard    2026-09-20 12:22:17  12:32:58   70      10m41s
Blacksburg  2026-09-20 12:38:01  12:47:19   32      9m18s
Svalbard    2026-09-20 14:02:10  14:12:58   87      10m48s
Svalbard    2026-09-20 15:42:40  15:53:12   54      10m32s
Awarua      2026-09-20 16:28:56  16:34:34   15      5m38s
Svalbard    2026-09-20 17:24:07  17:33:36   31      9m29s
Awarua      2026-09-20 18:05:29  18:16:12   83      10m43s
Svalbard    2026-09-20 19:06:48  19:14:04   18      7m16s
Awarua      2026-09-20 19:48:29  19:54:17   15      5m48s
Svalbard    2026-09-20 20:50:56  20:54:19   11      3m23s
Blacksburg  2026-09-20 22:16:46  22:26:32   38      9m46s
Blacksburg  2026-09-20 23:57:21  00:05:50   24      8m29s
